GENDER,SERVICE_NAME,SERVICE,TYPE,PRICE,OLD PRICE,image_url
MENS,PACKAGE OFFER,"Hair Cut & Shaving, Fruit Bleach Fruit Facial, Hair Wash Oil Massage",,1299,1400,https://onesociety.co.uk/cdn/shop/articles/featured-1772002761989.jpg?v=1772002958&width=1600
MENS,PACKAGE OFFER,"Hair Cut & Shaving, Head Massage with Stream, Face Bleach Fruit, Facial Fruit Hair Wash",,1399,1500,https://onesociety.co.uk/cdn/shop/articles/featured-1772002761989.jpg?v=1772002958&width=1600
MENS,PACKAGE OFFER,"Hair Cut & Shaving, No Amonia Black, (Loreal) with Hair Wash",,799,900,https://onesociety.co.uk/cdn/shop/articles/featured-1772002761989.jpg?v=1772002958&width=1600
MENS,PACKAGE OFFER,"Hair Cut & Shaving, Herbal Oil Massage, Herbal Dye Black Normal, Herbal Bleach, Fruit Herbal Facial",,1499,1550,https://onesociety.co.uk/cdn/shop/articles/featured-1772002761989.jpg?v=1772002958&width=1600
MENS,,,,,,
MENS,PACKAGE OFFER,"Hair Cut + Fruit Facial, Hair Spa, Hair Dye Herbal",,1399,1450,https://onesociety.co.uk/cdn/shop/articles/featured-1772002761989.jpg?v=1772002958&width=1600
MENS,PACKAGE OFFER,"Hair Cut + Shaving, Almong Oil Massage, No Ammonia Black, Pearl Facial",,1549,1650,https://onesociety.co.uk/cdn/shop/articles/featured-1772002761989.jpg?v=1772002958&width=1600
MENS,PACKAGE OFFER,"Hair Cut + Shaving, Almond Oil Massage, Fruit Bleach, Hair Wash, Facial Normal, Loreal Color",,1999,2100,https://onesociety.co.uk/cdn/shop/articles/featured-1772002761989.jpg?v=1772002958&width=1600
MENS,PACKAGE OFFER,"Hair Cut + Shaving, Loreal Coloring + Fruit Bleach, Gold Facial + Hair Wash, Shanaz Oil Massage",,2899,3000,https://onesociety.co.uk/cdn/shop/articles/featured-1772002761989.jpg?v=1772002958&width=1600
,,,,,,
,,,,,,
WOMEN,MANICURE,Manicure,,250,,https://cdn2.stylecraze.com/wp-content/uploads/2018/10/Basic-Manicure.jpg.webp
WOMEN,MANICURE,Spa Manicure with Pack,,500,,https://cdn2.stylecraze.com/wp-content/uploads/2018/10/Basic-Manicure.jpg.webp
WOMEN,MANICURE,Crystal Manicure,,700,,https://cdn2.stylecraze.com/wp-content/uploads/2018/10/Basic-Manicure.jpg.webp
WOMEN,OIL MASSAGE,Rosemary Oil (Hair Re-Growth),,700,,
WOMEN,OIL MASSAGE,Almond Oil,,600,,
WOMEN,OIL MASSAGE,Coconut Oil,,500,,
WOMEN,OIL MASSAGE,Shahnas Oil,,600,,
WOMEN,OIL MASSAGE,Olive Oil,,600,,
WOMEN,OIL MASSAGE,Biotique Herbal Oil,,700,,
WOMEN,PEDICURE,Pedicure,,500,,
WOMEN,PEDICURE,Spa Pedicure with Pack,,700,,
WOMEN,PEDICURE,Crystal Pedicure,,1000,,
WOMEN,HAIR SPA,Hair Spa Loreal,,1000 - 1500,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjV6ZP8ptn_0_dHqZLPFn2JxHr2C75KuBIu_fHtEsqwWL-P4rZRHofPUk&s=10
